,rho,p,adjusted_p,class
Nfu_g_1_009566,0.258873298382403,0.211470151868833,0.342994692586206,Not-significant
Nfu_g_1_009567,-0.0666794859469826,0.751485408877604,0.833722482826613,Not-significant
Nfu_g_1_009579,-0.380465302168077,0.0606280966718385,0.137463429796771,Not-significant
Nfu_g_1_009583,-0.0196116135138184,0.925866617300084,0.950700860659728,Not-significant
Nfu_g_1_009585,-0.203960780543711,0.328111469597594,0.473816664879136,Not-significant
Nfu_g_1_009597,0.294174202707276,0.153470919840469,0.272309264534404,Not-significant
Nfu_g_1_009604,-0.392232270276368,0.0524673136453784,0.123127435454184,Not-significant
Nfu_g_1_009605,-0.137281294596729,0.512870658369538,0.646220940111065,Not-significant
Nfu_g_1_009607,-0.0353009043248731,0.866960958554899,0.912808527564174,Not-significant
Nfu_g_1_009610,-0.0313785816221094,0.881635040062385,0.921798104209485,Not-significant
Nfu_g_1_009621,0.105902712974619,0.614384247084078,0.730322480498578,Not-significant
Nfu_g_1_009626,0.349086720545968,0.0871998662328871,0.180234870481358,Not-significant
Nfu_g_1_009627,0.0509901951359279,0.808737084533853,0.874536829878194,Not-significant
Nfu_g_1_009632,-0.176504521624366,0.39867142321844,0.543269263497915,Not-significant
Nfu_g_1_009655,0.29809652541004,0.147807245164158,0.264532280830799,Not-significant
Nfu_g_1_009658,0.290251880004512,0.15928683734018,0.279329499863439,Not-significant
Nfu_g_1_009687,0.0902134221635647,0.66803205233369,0.772604432391058,Not-significant
Nfu_g_1_009691,-0.188271489732657,0.367449695440563,0.512197909502767,Not-significant
Nfu_g_1_009695,0.270640266490694,0.190703171205935,0.318588364365097,Not-significant
Nfu_g_1_009697,0.011766968108291,0.955481654680904,0.970158792233606,Not-significant
Nfu_g_1_009698,0.403999238384659,0.0451895199799391,0.110276665173787,Not-significant
Nfu_g_1_009703,0.388309947573604,0.0550862545171207,0.128061011380364,Not-significant
Nfu_g_1_009706,0.0902134221635647,0.66803205233369,0.772604432391058,Not-significant
Nfu_g_1_009707,0.143541400109202,0.493646148445946,0.631222796213767,Not-significant
Nfu_g_1_009708,0.29809652541004,0.147807245164158,0.264532280830799,Not-significant
Nfu_g_1_009714,0.270640266490694,0.190703171205935,0.318588364365097,Not-significant
Nfu_g_1_009715,-0.129436649191201,0.537463757474272,0.668207292207825,Not-significant
Nfu_g_1_009716,0.211805425949239,0.309438918859256,0.453054766758642,Not-significant
Nfu_g_1_009718,-0.109825035677383,0.601254461564429,0.721374393321795,Not-significant
Nfu_g_1_009721,0.173411523119504,0.407118301686144,0.553628018712809,Not-significant
Nfu_g_1_009725,0.321630461626622,0.11692512212938,0.223116356026328,Not-significant
Nfu_g_1_009727,-0.384387624870841,0.0578057123064012,0.132856661455255,Not-significant
Nfu_g_1_009731,-0.380465302168077,0.0606280966718385,0.137463429796771,Not-significant
Nfu_g_1_009733,-0.342562165466799,0.0936837232339495,0.191441491315872,Not-significant
Nfu_g_1_009741,-0.0902134221635647,0.66803205233369,0.772604432391058,Not-significant
Nfu_g_1_009748,-0.411843883790186,0.0407962040553163,0.102351812552748,Not-significant
Nfu_g_1_009751,0.290251880004512,0.15928683734018,0.279329499863439,Not-significant
Nfu_g_1_009760,0.133358971893965,0.525098450748756,0.657949088736752,Not-significant
Nfu_g_1_009766,-0.403999238384659,0.0451895199799391,0.110276665173787,Not-significant
Nfu_g_1_009767,0.168659876218838,0.420286848858941,0.56442423221406,Not-significant
Nfu_g_1_009769,0.137281294596729,0.512870658369537,0.646220940111065,Not-significant
Nfu_g_1_009778,0.0706018086497463,0.737357202676773,0.823855833281519,Not-significant
Nfu_g_1_009779,0.133358971893965,0.525098450748756,0.657949088736752,Not-significant
Nfu_g_1_009782,-0.278484911896221,0.177663585732654,0.303085762653005,Not-significant
Nfu_g_1_009786,0.400076915681895,0.0475213496093164,0.114362665382615,Not-significant
Nfu_g_1_009793,-0.125514326488438,0.549963870548087,0.678557961234978,Not-significant
Nfu_g_1_009800,-0.113747358380147,0.588244349063804,0.710753439065027,Not-significant
Nfu_g_1_009805,-0.364776011357022,0.0729949735827243,0.15785562148213,Not-significant
Nfu_g_1_009820,0.345164397843204,0.0910558495858241,0.186109822437322,Not-significant
Nfu_g_1_009822,-0.086291099460801,0.681708334347298,0.78294198251517,Not-significant
Nfu_g_1_009824,0.325552784329386,0.11227732095945,0.216413226538287,Not-significant
Nfu_g_1_009826,-0.145125940002256,0.488837896416574,0.625316442132671,Not-significant
Nfu_g_1_009833,0.254950975679639,0.218718745616316,0.351303476880897,Not-significant
Nfu_g_1_009846,0.364776011357022,0.0729949735827243,0.15785562148213,Not-significant
Nfu_g_1_009860,-0.164737553516075,0.431330521930971,0.574122986299581,Not-significant
Nfu_g_1_009863,-0.188271489732657,0.367449695440563,0.512197909502767,Not-significant
Nfu_g_1_009864,-0.403999238384659,0.0451895199799391,0.110276665173787,Not-significant
Nfu_g_1_009865,0.0784464540552736,0.709351883365135,0.803797019836036,Not-significant
Nfu_g_1_009877,-0.00784464540552736,0.970313113331037,0.97810639677483,Not-significant
Nfu_g_1_009879,-0.19219381243542,0.357367764287643,0.502382161195517,Not-significant
Nfu_g_1_009881,0.0588348405414552,0.779972051548535,0.853861421122196,Not-significant
Nfu_g_1_009884,-0.129436649191201,0.537463757474272,0.668207292207825,Not-significant
Nfu_g_1_009886,-0.00392232270276368,0.985154158887765,0.987944117059997,Not-significant
Nfu_g_1_009894,-0.211805425949239,0.309438918859256,0.453054766758642,Not-significant
Nfu_g_1_009899,0.29809652541004,0.147807245164158,0.264532280830799,Not-significant
Nfu_g_1_009905,-0.239261684868585,0.249366700444691,0.386383940445243,Not-significant
Nfu_g_1_009909,0.0549125178386915,0.794321943739653,0.864986498866409,Not-significant
Nfu_g_1_009910,0.0588348405414552,0.779972051548535,0.853861421122196,Not-significant
Nfu_g_1_009911,-0.349086720545968,0.0871998662328871,0.180234870481358,Not-significant
Nfu_g_1_009912,0.0706018086497463,0.737357202676773,0.823855833281519,Not-significant
Nfu_g_1_009913,0.239261684868585,0.249366700444691,0.386383940445243,Not-significant
Nfu_g_1_009924,0.145125940002256,0.488837896416574,0.625316442132671,Not-significant
Nfu_g_1_009925,-0.396154592979132,0.0499464806621525,0.118530243122365,Not-significant
Nfu_g_1_009932,0.176504521624366,0.39867142321844,0.543269263497915,Not-significant
Nfu_g_1_009938,0.105902712974619,0.614384247084078,0.730322480498578,Not-significant
Nfu_g_1_009943,0.184349167029893,0.377695026141098,0.523023210082262,Not-significant
Nfu_g_1_009947,-0.384387624870841,0.0578057123064012,0.132856661455255,Not-significant
Nfu_g_1_009951,-0.208284035351343,0.317738184759129,0.46297842638434,Not-significant
Nfu_g_1_009964,0.294174202707276,0.153470919840469,0.272309264534404,Not-significant
Nfu_g_1_009967,-0.380465302168077,0.0606280966718385,0.137463429796771,Not-significant
Nfu_g_1_009969,-0.249115403041081,0.229808019604144,0.366325806169629,Not-significant
Nfu_g_1_009975,-0.109825035677383,0.601254461564429,0.721374393321795,Not-significant
Nfu_g_1_009976,-0.0392232270276368,0.852329535048812,0.903737283713933,Not-significant
Nfu_g_1_009977,-0.19219381243542,0.357367764287643,0.502382161195517,Not-significant
Nfu_g_1_009983,-0.0706153898384166,0.737308423876544,0.823855833281519,Not-significant
Nfu_g_1_009985,0.200038457840948,0.33769785809616,0.483571233423106,Not-significant
Nfu_g_1_009986,0.400076915681895,0.0475213496093164,0.114362665382615,Not-significant
Nfu_g_1_009987,0.337319752437677,0.0991495051863982,0.198159109841391,Not-significant
Nfu_g_1_009988,-0.0431455497304005,0.837745377706391,0.893625112421611,Not-significant
Nfu_g_1_009990,0.0353009043248731,0.8669609585549,0.912808527564174,Not-significant
Nfu_g_1_009992,-0.141203617299493,0.500782978173739,0.635675743002512,Not-significant
Nfu_g_1_009994,-0.101980390271856,0.62763037393172,0.741357536041578,Not-significant
Nfu_g_1_010000,0.0941357448663283,0.654457844625104,0.762867332407466,Not-significant
