,rho,p,adjusted_p,class
FBgn0034416,-0.375678478970658,0.0772980926528271,0.248360459280318,Not-significant
FBgn0034417,0.337158197242236,0.115660390893529,0.319069792595479,Not-significant
FBgn0034418,-0.291761707749711,0.176753729117286,0.409920643497427,Not-significant
FBgn0034419,-0.291761707749711,0.176753729117286,0.409920643497427,Not-significant
FBgn0034420,-0.163223333006831,0.456785405368219,0.687208015749441,Not-significant
FBgn0034422,-0.0974239268884524,0.658324493183447,0.815944543391686,Not-significant
FBgn0034425,0.0402957603360614,0.855152414411405,0.931172211417614,Not-significant
FBgn0034427,0.0995465808446628,0.651333377160451,0.811055672063279,Not-significant
FBgn0034430,-0.244834999510247,0.260186601445222,0.490640413583302,Not-significant
FBgn0034432,-0.440192926202798,0.0355480814009985,0.158072802433984,Not-significant
FBgn0034436,0.454985040756542,0.0291530837581761,0.137776752642113,Not-significant
FBgn0034437,-0.000868995054564955,0.996860230607606,0.998166468184251,Not-significant
FBgn0034439,0.0928332706476352,0.67353851095161,0.825735106478255,Not-significant
FBgn0034440,0.024993572866671,0.909873760982583,0.958503281187804,Not-significant
FBgn0034442,-0.123947718502062,0.573119490319259,0.772234178847974,Not-significant
FBgn0034446,-0.448443132823335,0.0318575756532947,0.146082068941652,Not-significant
FBgn0034451,0.101504510213623,0.644909865149126,0.811055672063279,Not-significant
FBgn0034452,0.226472374546978,0.298742617491351,0.536753330106545,Not-significant
FBgn0034454,0.218821280812283,0.315797035876658,0.554564035052379,Not-significant
FBgn0034455,-0.424890738733407,0.0432804824879459,0.177885110895844,Not-significant
FBgn0034456,-0.130744513342966,0.552095392655078,0.756973249456046,Not-significant
FBgn0034458,0.257512201169415,0.235523298015266,0.460659271999145,Not-significant
FBgn0034462,-0.282048645726545,0.192272152487504,0.409920643497427,Not-significant
FBgn0034463,-0.169860498290897,0.438428259585251,0.671215180663087,Not-significant
FBgn0034464,-0.282048645726545,0.192272152487504,0.409920643497427,Not-significant
FBgn0034467,-0.119953431734052,0.58563640022963,0.776468952328796,Not-significant
FBgn0034468,0.209137105273368,0.338213552408482,0.576623071305347,Not-significant
FBgn0034470,0.0214230624571466,0.922708427319035,0.96628563324766,Not-significant
FBgn0034471,0.0489669999020493,0.824411907429922,0.911283842039484,Not-significant
FBgn0034474,-0.108437340516763,0.6223641271683,0.804393083436104,Not-significant
FBgn0034475,-0.0372353228421834,0.866053181986917,0.936064879758246,Not-significant
FBgn0034476,-0.13261895806805,0.546359723786128,0.752256752994341,Not-significant
FBgn0034477,-0.140679335763999,0.522012349613818,0.73254282823332,Not-significant
FBgn0034478,-0.282048645726545,0.192272152487504,0.409920643497427,Not-significant
FBgn0034479,-0.394286363794627,0.0626424796184242,0.218500840073534,Not-significant
FBgn0034480,0.201988874595954,0.355350936209536,0.593959981498062,Not-significant
FBgn0034481,-0.0576524834419278,0.79386910927875,0.895615611204389,Not-significant
FBgn0034483,0.282048645726545,0.192272152487504,0.409920643497427,Not-significant
FBgn0034484,0.0663094790340252,0.763715163385913,0.876067717445226,Not-significant
FBgn0034486,0.158842451609539,0.469117564569275,0.697532388329768,Not-significant
FBgn0034487,-0.416631393874021,0.0479686307111181,0.189697602501691,Not-significant
FBgn0034488,-0.0285640832761955,0.897060851387105,0.951666221452318,Not-significant
FBgn0034490,0.264727843220454,0.222194248467891,0.446907808115009,Not-significant
FBgn0034493,0.343789145145638,0.108227852489927,0.306306406448701,Not-significant
FBgn0034494,-0.125988010164648,0.566771564936936,0.767594918348128,Not-significant
FBgn0034495,0.0703900623591959,0.749613224510259,0.868996484792497,Not-significant
FBgn0034496,0.110685822695257,0.61512068672177,0.799085772445934,Not-significant
FBgn0034498,0.104054874791855,0.636579452330292,0.811055672063279,Not-significant
FBgn0034500,-0.307573968134748,0.153379592006993,0.380157900947472,Not-significant
FBgn0034501,0.125988010164648,0.566771564936936,0.767594918348128,Not-significant
FBgn0034502,0.316066536648131,0.141767313373124,0.36157034430003,Not-significant
FBgn0034503,-0.186176614210917,0.395018167183953,0.632614939997645,Not-significant
FBgn0034504,-0.150471510115672,0.49314779720603,0.715067905042286,Not-significant
FBgn0034505,0.449995490228144,0.0311984800889678,0.144099822460918,Not-significant
FBgn0034506,0.376016639793812,0.0770105619192316,0.247820836444978,Not-significant
FBgn0034507,0.208111679495455,0.340641217490853,0.579844986239242,Not-significant
FBgn0034509,-0.124457791417709,0.571529583135807,0.771200065046333,Not-significant
FBgn0034510,0.270155989731473,0.21250360384007,0.43435364397016,Not-significant
FBgn0034511,0.350930165964687,0.100621714734877,0.292444737909969,Not-significant
FBgn0034513,0.418478829415166,0.0468871843826781,0.187717475140463,Not-significant
FBgn0034514,0.282048645726545,0.192272152487504,0.409920643497427,Not-significant
FBgn0034515,-0.135760150244693,0.536809709404549,0.74509817706089,Not-significant
FBgn0034523,-0.035195031179598,0.87333362224853,0.939233106356707,Not-significant
FBgn0034527,0.286660978593247,0.184791449536517,0.409920643497427,Not-significant
FBgn0034528,0.432541832468103,0.0392648476858129,0.16798320280399,Not-significant
