,rho,p,adjusted_p,class
Nfu_g_1_000219,-0.294174202707276,0.153470919840469,0.39747604409284,Not-significant
Nfu_g_1_000220,0.294174202707276,0.153470919840469,0.39747604409284,Not-significant
Nfu_g_1_000222,-0.0627571632442189,0.765691771946654,0.888851894121298,Not-significant
Nfu_g_1_000227,-0.243184007571348,0.24145533685971,0.508086840718384,Not-significant
Nfu_g_1_000229,-0.015949044456578,0.939683935808593,0.973680683521935,Not-significant
Nfu_g_1_000231,-0.0813759623236155,0.698984635019218,0.856571697799336,Not-significant
Nfu_g_1_000234,-0.309863493518331,0.131712785634666,0.368371999112025,Not-significant
Nfu_g_1_000235,-0.160815230813311,0.442529305353942,0.689360617316808,Not-significant
Nfu_g_1_000244,-0.113747358380147,0.588244349063804,0.790790022367824,Not-significant
Nfu_g_1_000245,0.0941357448663283,0.654457844625104,0.830242322671893,Not-significant
Nfu_g_1_000248,0.098058067569092,0.640989413882095,0.821996130730901,Not-significant
Nfu_g_1_000250,0.302018848112803,0.142294156193641,0.382526531123926,Not-significant
Nfu_g_1_000251,-0.121592003785674,0.562595973366879,0.774595456453023,Not-significant
Nfu_g_1_000254,0.278484911896221,0.177663585732654,0.431487370349233,Not-significant
Nfu_g_1_000255,-0.462834078926114,0.0198176445349946,0.129876349006125,Not-significant
Nfu_g_1_000259,-0.243184007571348,0.24145533685971,0.508086840718384,Not-significant
Nfu_g_1_000261,0.109825035677383,0.601254461564429,0.798850959994895,Not-significant
Nfu_g_1_000265,-0.129436649191201,0.537463757474272,0.759624643105486,Not-significant
Nfu_g_1_000266,0.211805425949239,0.309438918859256,0.576901269421707,Not-significant
Nfu_g_1_000270,0.439300142709532,0.0280110976668,0.155933689202428,Not-significant
Nfu_g_1_000271,0.115153262969847,0.583610803696159,0.790790022367824,Not-significant
Nfu_g_1_000272,-0.164737553516075,0.431330521930971,0.681341326608321,Not-significant
Nfu_g_1_000275,-0.423610851898478,0.034846543356559,0.176530878384531,Not-significant
Nfu_g_1_000276,0.0549125178386915,0.794321943739653,0.906580988311013,Not-significant
Nfu_g_1_000277,-0.129436649191201,0.537463757474272,0.759624643105486,Not-significant
